
Episode Report #1 -------
EXP_STEP 	 episode	 #step 	 r_episode 	   fps	  T_env	T_agent	  ROUND	 g-fps	AGENT_T	 active	T_actor	   T_mt	 DCNN_EPOCH 	 weight_avg 	 delta_avg 	 L1 	 acc. 	 T_fp 	 T_bp 	 T_sgd 	T_batch	
  34924		     81 	  222.0	    50.000	  15.8	   21.9	   41.1	     81	  79.1	  34924	  0.234	   37.1	    0.5	   7480 	 2.68e-002 	 8.27e-005 	 1.492 	 71.2% 	 13.0 	 17.7 	 1.6 	 251.8 	
  35216		     82 	  292.0	   105.000	  15.8	   21.7	   41.4	     82	  79.2	  35216	  0.288	   37.7	    0.4	   7553 	 2.69e-002 	 8.82e-005 	 1.675 	 68.6% 	 12.9 	 18.3 	 1.4 	 251.9 	
  35572		     83 	  356.0	    45.000	  15.9	   20.5	   42.5	     83	  79.2	  35572	  0.270	   39.0	    0.4	   7642 	 2.69e-002 	 7.67e-005 	 1.740 	 68.8% 	 12.9 	 17.0 	 1.5 	 251.9 	
  35843		     84 	  271.0	    90.000	  15.1	   22.6	   43.6	     84	  75.5	  35843	  0.262	   39.7	    0.4	   7710 	 2.69e-002 	 7.17e-005 	 1.630 	 70.2% 	 12.7 	 19.5 	 1.4 	 263.1 	
  36351		     85 	  508.0	   260.000	  12.3	   23.0	   58.4	     85	  61.4	  36351	  0.280	   54.9	    0.5	   7837 	 2.70e-002 	 1.07e-004 	 1.434 	 69.6% 	 13.6 	 17.8 	 1.8 	 324.6 	
  36588		     86 	  237.0	    20.000	  15.4	   17.1	   47.4	     86	  77.2	  36588	  0.342	   42.6	    0.4	   7896 	 2.70e-002 	 5.62e-005 	 1.396 	 68.1% 	 12.1 	 7.9 	 1.5 	 255.7 	
  37046		     87 	  458.0	   225.000	  15.7	   17.5	   46.4	     87	  78.2	  37046	  0.262	   42.0	    0.4	   8011 	 2.71e-002 	 6.31e-005 	 1.806 	 69.0% 	 12.3 	 7.8 	 1.6 	 254.3 	
  37525		     88 	  479.0	   285.000	  16.0	   15.9	   46.5	     88	  79.9	  37525	  0.278	   43.3	    0.4	   8131 	 2.71e-002 	 7.69e-005 	 1.569 	 68.0% 	 12.4 	 7.8 	 1.4 	 249.7 	
  38062		     89 	  537.0	   200.000	  15.8	   16.6	   46.1	     89	  79.1	  38062	  0.328	   41.5	    0.4	   8265 	 2.72e-002 	 9.56e-005 	 1.589 	 67.9% 	 12.2 	 7.7 	 1.6 	 251.0 	
  38351		     90 	  289.0	    95.000	  15.5	   17.8	   45.9	     90	  78.1	  38351	  0.318	   41.9	    0.4	   8337 	 2.72e-002 	 3.52e-005 	 1.674 	 70.3% 	 12.5 	 7.6 	 1.5 	 254.3 	
